aeropuerto,period,date,value,countryCod,airpCod,countryDesc,airpDesc,mes,year,año,totalDeVuelos
UK_EGLL,2020-04,1/4/2020,5272,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow,4,2020,2020,5272
UK_EGLL,2020-05,1/5/2020,6744,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow,5,2020,2020,6744
UK_EGLL,2020-06,1/6/2020,7449,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow,6,2020,2020,7449
UK_EGLL,2020-07,1/7/2020,12198,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow,7,2020,2020,12198
UK_EGLL,2020-09,1/9/2020,14690,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow,9,2020,2020,14690
UK_EGLL,2020-08,1/8/2020,15477,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow,8,2020,2020,15477
UK_EGLL,2020-03,1/3/2020,27861,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow,3,2020,2020,27861
UK_EGLL,2020-02,1/2/2020,36615,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow,2,2020,2020,36615
UK_EGLL,2020-01,1/1/2020,38177,UK,EGLL,Reino Unido,Aeropuerto Internacional de Londres Heathrow,1,2020,2020,38177
FR_LFPG,2019-02,1/2/2019,35711,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle,2,2019,2019,35711
FR_LFPG,2019-01,1/1/2019,38518,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle,1,2019,2019,38518
FR_LFPG,2019-03,1/3/2019,40627,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle,3,2019,2019,40627
FR_LFPG,2019-04,1/4/2019,43225,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle,4,2019,2019,43225
FR_LFPG,2019-05,1/5/2019,44408,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle,5,2019,2019,44408
FR_LFPG,2019-06,1/6/2019,44799,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle,6,2019,2019,44799
FR_LFPG,2019-09,1/9/2019,45616,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle,9,2019,2019,45616
FR_LFPG,2019-07,1/7/2019,47508,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle,7,2019,2019,47508
FR_LFPG,2019-08,1/8/2019,47756,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle,8,2019,2019,47756
FR_LFPG,2020-04,1/4/2020,4228,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle,4,2020,2020,4228
FR_LFPG,2020-05,1/5/2020,5874,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle,5,2020,2020,5874
FR_LFPG,2020-06,1/6/2020,9794,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle,6,2020,2020,9794
FR_LFPG,2020-09,1/9/2020,18797,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle,9,2020,2020,18797
FR_LFPG,2020-07,1/7/2020,19082,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle,7,2020,2020,19082
FR_LFPG,2020-08,1/8/2020,22934,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle,8,2020,2020,22934
FR_LFPG,2020-03,1/3/2020,23664,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle,3,2020,2020,23664
FR_LFPG,2020-02,1/2/2020,35732,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle,2,2020,2020,35732
FR_LFPG,2020-01,1/1/2020,37766,FR,LFPG,Francia,Aeropuerto Internacional de Paris-Charles de Gaulle,1,2020,2020,37766
ES_LEBL,2019-02,1/2/2019,22677,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat,2,2019,2019,22677
ES_LEBL,2019-01,1/1/2019,23971,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat,1,2019,2019,23971
