aiport,period,value,countryCod,airpCod
FR_LFPG,2020-02,35732,FR,LFPG
FR_LFPG,2020-03,23664,FR,LFPG
FR_LFPG,2020-04,4228,FR,LFPG
FR_LFPG,2020-05,5874,FR,LFPG
FR_LFPG,2020-06,9794,FR,LFPG
FR_LFPG,2020-07,19082,FR,LFPG
FR_LFPG,2020-08,22934,FR,LFPG
FR_LFPG,2020-09,18797,FR,LFPG
FR_LFPO,2019-01,17601,FR,LFPO
FR_LFPO,2019-02,15776,FR,LFPO
FR_LFPO,2019-03,18586,FR,LFPO
FR_LFPO,2019-04,20651,FR,LFPO
FR_LFPO,2019-05,20358,FR,LFPO
FR_LFPO,2019-06,20760,FR,LFPO
FR_LFPO,2019-07,21273,FR,LFPO
FR_LFPO,2019-08,19217,FR,LFPO
FR_LFPO,2019-09,18972,FR,LFPO
FR_LFPO,2019-10,18392,FR,LFPO
FR_LFPO,2019-11,16475,FR,LFPO
FR_LFPO,2019-12,16390,FR,LFPO
FR_LFPO,2020-01,16680,FR,LFPO
FR_LFPO,2020-02,15677,FR,LFPO
FR_LFPO,2020-03,9634,FR,LFPO
FR_LFPO,2020-04,188,FR,LFPO
FR_LFPO,2020-05,101,FR,LFPO
FR_LFPO,2020-06,471,FR,LFPO
FR_LFPO,2020-07,5289,FR,LFPO
FR_LFPO,2020-08,8386,FR,LFPO
FR_LFPO,2020-09,9301,FR,LFPO
IT_LIRF,2019-01,23027,IT,LIRF
IT_LIRF,2019-02,21506,IT,LIRF
IT_LIRF,2019-03,23974,IT,LIRF
IT_LIRF,2019-04,26423,IT,LIRF
IT_LIRF,2019-05,27338,IT,LIRF
IT_LIRF,2019-06,28545,IT,LIRF
IT_LIRF,2019-07,30023,IT,LIRF
IT_LIRF,2019-08,30107,IT,LIRF
IT_LIRF,2019-09,28124,IT,LIRF
IT_LIRF,2019-10,26476,IT,LIRF
IT_LIRF,2019-11,22444,IT,LIRF
IT_LIRF,2019-12,22577,IT,LIRF
IT_LIRF,2020-01,21331,IT,LIRF
IT_LIRF,2020-02,19404,IT,LIRF
IT_LIRF,2020-03,8624,IT,LIRF
IT_LIRF,2020-04,2409,IT,LIRF
IT_LIRF,2020-05,2748,IT,LIRF
IT_LIRF,2020-06,3565,IT,LIRF
