rep_airp.time,periodo,fecha,mes,year,date,pais,totalVuelos,Aeropuerto
NL_EHAM,2019M01,1/1/2019,1,2019,1/1/2019,Paises Bajos,37938,Aeropuerto Internacional de �msterdam-Schiphol 
NL_EHAM,2019M02,1/2/2019,2,2019,1/2/2019,Paises Bajos,35995,Aeropuerto Internacional de �msterdam-Schiphol 
NL_EHAM,2019M03,1/3/2019,3,2019,1/3/2019,Paises Bajos,40659,Aeropuerto Internacional de �msterdam-Schiphol 
NL_EHAM,2019M04,1/4/2019,4,2019,1/4/2019,Paises Bajos,42890,Aeropuerto Internacional de �msterdam-Schiphol 
NL_EHAM,2019M05,1/5/2019,5,2019,1/5/2019,Paises Bajos,45944,Aeropuerto Internacional de �msterdam-Schiphol 
NL_EHAM,2019M06,1/6/2019,6,2019,1/6/2019,Paises Bajos,44644,Aeropuerto Internacional de �msterdam-Schiphol 
NL_EHAM,2019M07,1/7/2019,7,2019,1/7/2019,Paises Bajos,45874,Aeropuerto Internacional de �msterdam-Schiphol 
NL_EHAM,2019M08,1/8/2019,8,2019,1/8/2019,Paises Bajos,46050,Aeropuerto Internacional de �msterdam-Schiphol 
NL_EHAM,2019M09,1/9/2019,9,2019,1/9/2019,Paises Bajos,45248,Aeropuerto Internacional de �msterdam-Schiphol 
NL_EHAM,2020M01,1/1/2020,1,2020,1/1/2020,Paises Bajos,38324,Aeropuerto Internacional de �msterdam-Schiphol 
NL_EHAM,2020M02,1/2/2020,2,2020,1/2/2020,Paises Bajos,35830,Aeropuerto Internacional de �msterdam-Schiphol 
NL_EHAM,2020M03,1/3/2020,3,2020,1/3/2020,Paises Bajos,25792,Aeropuerto Internacional de �msterdam-Schiphol 
NL_EHAM,2020M04,1/4/2020,4,2020,1/4/2020,Paises Bajos,4543,Aeropuerto Internacional de �msterdam-Schiphol 
NL_EHAM,2020M05,1/5/2020,5,2020,1/5/2020,Paises Bajos,6280,Aeropuerto Internacional de �msterdam-Schiphol 
NL_EHAM,2020M06,1/6/2020,6,2020,1/6/2020,Paises Bajos,8763,Aeropuerto Internacional de �msterdam-Schiphol 
NL_EHAM,2020M07,1/7/2020,7,2020,1/7/2020,Paises Bajos,16744,Aeropuerto Internacional de �msterdam-Schiphol 
NL_EHAM,2020M08,1/8/2020,8,2020,1/8/2020,Paises Bajos,24054,Aeropuerto Internacional de �msterdam-Schiphol 
NL_EHAM,2020M09,1/9/2020,9,2020,1/9/2020,Paises Bajos,22988,Aeropuerto Internacional de �msterdam-Schiphol 
ES_LEBL,2019M01,1/1/2019,1,2019,1/1/2019,Espa�a,90,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M01,1/1/2019,1,2019,1/1/2019,Espa�a,3306,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M01,1/1/2019,1,2019,1/1/2019,Espa�a,20575,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M01,1/1/2019,1,2019,1/1/2019,Espa�a,23971,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M02,1/2/2019,2,2019,1/2/2019,Espa�a,150,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M02,1/2/2019,2,2019,1/2/2019,Espa�a,3168,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M02,1/2/2019,2,2019,1/2/2019,Espa�a,19359,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M02,1/2/2019,2,2019,1/2/2019,Espa�a,22677,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M03,1/3/2019,3,2019,1/3/2019,Espa�a,145,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M03,1/3/2019,3,2019,1/3/2019,Espa�a,3581,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M03,1/3/2019,3,2019,1/3/2019,Espa�a,22209,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M03,1/3/2019,3,2019,1/3/2019,Espa�a,25935,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M04,1/4/2019,4,2019,1/4/2019,Espa�a,112,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M04,1/4/2019,4,2019,1/4/2019,Espa�a,3923,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M04,1/4/2019,4,2019,1/4/2019,Espa�a,25704,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M04,1/4/2019,4,2019,1/4/2019,Espa�a,29739,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M05,1/5/2019,5,2019,1/5/2019,Espa�a,199,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M05,1/5/2019,5,2019,1/5/2019,Espa�a,4410,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M05,1/5/2019,5,2019,1/5/2019,Espa�a,26493,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M05,1/5/2019,5,2019,1/5/2019,Espa�a,31102,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M06,1/6/2019,6,2019,1/6/2019,Espa�a,232,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M06,1/6/2019,6,2019,1/6/2019,Espa�a,5077,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M06,1/6/2019,6,2019,1/6/2019,Espa�a,26711,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M06,1/6/2019,6,2019,1/6/2019,Espa�a,32020,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M07,1/7/2019,7,2019,1/7/2019,Espa�a,279,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M07,1/7/2019,7,2019,1/7/2019,Espa�a,5307,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M07,1/7/2019,7,2019,1/7/2019,Espa�a,27605,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M07,1/7/2019,7,2019,1/7/2019,Espa�a,33191,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M08,1/8/2019,8,2019,1/8/2019,Espa�a,174,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
ES_LEBL,2019M08,1/8/2019,8,2019,1/8/2019,Espa�a,5329,"Aeropuerto Josep Tarradellas Barcelona-El Prat? 
Aeropuerto Josep Tarradellas Barcelona-El Prat"
